month,product_category,sales_units,nps,lead_conversion_rate
2024-07,Enterprise CRM,1200,68,0.045
2024-08,Enterprise CRM,1250,69,0.048
2024-09,Enterprise CRM,1310,70,0.051
2024-10,Enterprise CRM,1290,70,0.049
2024-11,Enterprise CRM,1380,72,0.053
2024-12,Enterprise CRM,1450,71,0.055
2025-01,Enterprise CRM,1390,72,0.050
2025-02,Enterprise CRM,1410,73,0.052
2025-03,Enterprise CRM,1490,74,0.056
2025-04,Enterprise CRM,1520,73,0.058
2025-05,Enterprise CRM,1580,75,0.061
2025-06,Enterprise CRM,1630,76,0.063
2025-07,Enterprise CRM,1600,75,0.060
2025-08,Enterprise CRM,1650,76,0.062
2025-09,Enterprise CRM,1710,77,0.065
2025-10,Enterprise CRM,1690,76,0.064
2025-11,Enterprise CRM,1780,78,0.068
2025-12,Enterprise CRM,1890,79,0.072
2026-01,Enterprise CRM,1820,78,0.069
2026-02,Enterprise CRM,1850,79,0.071
2026-03,Enterprise CRM,1920,80,0.074
2026-04,Enterprise CRM,1970,81,0.076
2026-05,Enterprise CRM,2040,82,0.079
2026-06,Enterprise CRM,2100,83,0.081
2026-07,Enterprise CRM,2080,82,0.079
